model,term,beta,SE,OR,lower95_model_based,upper95_model_based,p_model_based,N,AIC,deviance
Groundwater destination,Intercept,1.307917800290712,0.6193424689436364,3.698464746971873,1.0985669537683833,12.451349858715721,0.034704940933495576,1006,790.3782142432667,728.3782142432667
Groundwater destination,"C(livelihood, Treatment(reference='Other'))[T.Agriculture only]",-0.3954721268209863,0.5580143421168605,0.6733620519046588,0.2255574833673891,2.010203546236263,0.4785024753330138,1006,790.3782142432667,728.3782142432667
Groundwater destination,"C(livelihood, Treatment(reference='Other'))[T.Livestock only]",0.4489308997666495,0.25308523188119303,1.5666363985184313,0.953976582271368,2.5727566596227387,0.07609080160549078,1006,790.3782142432667,728.3782142432667
Groundwater destination,"C(livelihood, Treatment(reference='Other'))[T.Mixed crop-livestock]",1.2828043848938766,0.4611435083147566,3.606740243935258,1.4607691449261009,8.905291594093915,0.005406001348255501,1006,790.3782142432667,728.3782142432667
Groundwater destination,"C(ea_type_n, Treatment(reference='Urban'))[T.Rural]",1.172433346972344,0.28021764965794144,3.229842411297454,1.8648987342695167,5.593806146209829,2.864119592072646e-05,1006,790.3782142432667,728.3782142432667
Groundwater destination,"C(ea_type_n, Treatment(reference='Urban'))[T.Nomadic]",0.21193392681353057,0.3470328248083908,1.2360662115470338,0.6260967232641095,2.4402933645185874,0.5413963348358195,1006,790.3782142432667,728.3782142432667
Groundwater destination,"C(school_cat, Treatment(reference='Never attended'))[T.Ever attended]",-0.42685057857773695,0.2186439458511414,0.652561051543911,0.4251162098700187,1.001692986777183,0.0509069374584963,1006,790.3782142432667,728.3782142432667
Groundwater destination,"C(school_cat, Treatment(reference='Never attended'))[T.Unknown]",0.09901223866528103,0.6594458994576142,1.1040798119394568,0.30315782809880243,4.02098220183509,0.8806505356234143,1006,790.3782142432667,728.3782142432667
Groundwater destination,C(rain_family)[T.Groundwater],-27.80793954483375,13445.212258128342,8.378481259245202e-13,0.0,inf,0.9983497835968447,1006,790.3782142432667,728.3782142432667
Groundwater destination,C(rain_family)[T.Other/social],-2.812375599210238,1.7386503389131611,0.06006213920813198,0.0019889861081371168,1.8137183319172456,0.10575691487204997,1006,790.3782142432667,728.3782142432667
Groundwater destination,C(rain_family)[T.Private piped],-1.49137511116815,0.36490791228994574,0.22506295606821336,0.11007485779242453,0.4601716977884532,4.370053145986699e-05,1006,790.3782142432667,728.3782142432667
Groundwater destination,C(rain_family)[T.Public network],-1.3510717184712013,0.4609243629784405,0.25896257689605867,0.10492772807009701,0.6391219696270044,0.003376312054875654,1006,790.3782142432667,728.3782142432667
Groundwater destination,C(rain_family)[T.Rain/surface],-1.407054930582591,0.32436861996812605,0.2448633618905887,0.12966288023636682,0.4624150403497271,1.4389840261186426e-05,1006,790.3782142432667,728.3782142432667
Groundwater destination,C(region_n)[T.Bakool],1.5028883992208957,0.618368120291528,4.494652690599664,1.337613269193182,15.102947372300012,0.01508172859631111,1006,790.3782142432667,728.3782142432667
Groundwater destination,C(region_n)[T.Banadir],0.01376777318705245,1.1835660650146274,1.0138629854280476,0.09965692771764104,10.314567955912548,0.9907188569755292,1006,790.3782142432667,728.3782142432667
Groundwater destination,C(region_n)[T.Bari],-0.470862179903519,0.6094076374228538,0.6244636361196131,0.18913369193485807,2.0617946429662983,0.43972627252386776,1006,790.3782142432667,728.3782142432667
